checkpoint,task_suite,task_id,task_description,episode_idx,success,num_steps,first_action_timestep,first_gripper_close_timestep,mean_action_norm,max_action_norm
openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r16+dropout-0.0--image_aug,libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,False,220,,0,0.004246,0.004246
openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r16+dropout-0.0--image_aug,libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1,False,220,,0,0.004246,0.004246
openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r16+dropout-0.0--image_aug,libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,2,False,220,,0,0.004246,0.004246
openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r16+dropout-0.0--image_aug,libero_spatial,1,pick up the black bowl next to the ramekin and place it on the plate,0,False,220,,0,0.004246,0.004246
openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r16+dropout-0.0--image_aug,libero_spatial,1,pick up the black bowl next to the ramekin and place it on the plate,1,False,220,0,0,0.428765,1.181766
openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r16+dropout-0.0--image_aug,libero_spatial,1,pick up the black bowl next to the ramekin and place it on the plate,2,False,220,,0,0.004246,0.004246
openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r16+dropout-0.0--image_aug,libero_spatial,2,pick up the black bowl from table center and place it on the plate,0,False,220,,0,0.004246,0.004246
openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r16+dropout-0.0--image_aug,libero_spatial,2,pick up the black bowl from table center and place it on the plate,1,False,220,,0,0.004246,0.004246
openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r16+dropout-0.0--image_aug,libero_spatial,2,pick up the black bowl from table center and place it on the plate,2,False,220,,0,0.004246,0.004246
openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r16+dropout-0.0--image_aug,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,0,False,220,,0,0.004246,0.004246
openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r16+dropout-0.0--image_aug,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,1,False,220,,0,0.004246,0.004246
openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r16+dropout-0.0--image_aug,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,True,77,0,0,0.821891,1.3209
openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r16+dropout-0.0--image_aug,libero_spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,0,True,176,0,0,0.577743,1.207787
